year,duration_sec,duration_min,danceability,energy,tempo,acousticness,loudness,valence,track_count,duration_sec_ma5,duration_sec_ma10,danceability_ma5,acousticness_ma5,duration_yoy_pct
1959,215.90159779889945,3.5983599633149908,0.4889455227613807,0.31666902451225615,112.5041935967984,0.7770730565282642,-14.326746873436718,0.48763781890945473,1999,220.57230422849125,217.89438473561887,0.49063805729642207,0.8019213848492859,1.3835925440284669
1960,208.18073182957394,3.4696788638262324,0.4879414035087719,0.34766979448621554,113.00415137844612,0.7567067398496241,-13.763013533834586,0.5289734335839599,1995,218.23937600960485,217.89253238773705,0.4901569167601291,0.784311643346639,-3.5761041363469026
1961,228.43220991983966,3.807203498663995,0.48938286573146295,0.34299576553106215,112.2823241482966,0.751571868737475,-14.166529559118237,0.5184654809619238,1996,221.22337252537045,219.41789908107847,0.49107325956090336,0.7706376665683453,9.72783499812293
1962,208.7562157157157,3.4792702619285953,0.499417017017017,0.3798013013013013,114.9340870870871,0.7130227892892893,-13.049115615615616,0.5606982482482483,1998,214.84518425280575,218.45357963089992,0.4894543418037265,0.7552411338809305,-8.613493784886362
1963,200.2971395,3.338285658333333,0.48633139999999997,0.373388235,114.546598,0.712598155,-13.602048,0.5498992500000001,2000,212.31357895280576,216.94551969488953,0.4904036418037265,0.7421945218809305,-4.0521314235908985
1964,191.61073657802308,3.1935122763003845,0.5074335674862017,0.39801592072252884,115.12332915203211,0.6858274581033618,-13.013276969392875,0.5688040140491721,1993,207.45540670863048,214.01385546856085,0.4941012507486907,0.7239454021959502,-4.336758349949832
1965,190.98515715715715,3.1830859526192863,0.504916016016016,0.44584750050050054,117.62693943943944,0.6077219779779779,-12.105416916916917,0.579332932932933,1998,204.0162917741471,211.12783389187598,0.4974961732501395,0.6941484498216207,-0.32648453423756996
1966,194.6496991991992,3.2441616533199866,0.5036382382382382,0.4727957007007007,116.33354004004003,0.5334280845545545,-11.747213213213213,0.5853116616616617,1998,197.25978963001904,209.24158107769472,0.5003472477514945,0.6505196929850368,1.9187575079599561
1967,201.09745222611303,3.351624203768551,0.4985145072536268,0.4522334617308654,117.57435767883942,0.5163707530665332,-11.638747873936968,0.5581087043521761,1999,195.7280369320985,205.2866105924521,0.5001667457988166,0.6111892857404855,3.312490619528452
1968,216.18046823411706,3.6030078039019506,0.5004840920460231,0.4566440670335168,116.48063231615808,0.48858150410205103,-12.180284142071034,0.5670097548774388,1999,198.90470267892192,205.60914081586384,0.5029972842080211,0.5663859555608957,7.500351616113332
1969,237.91719076305222,3.965286512717537,0.49120486947791164,0.48940043172690767,116.98009036144578,0.44374612153614457,-12.072819779116466,0.5573860943775101,1992,208.1659935159277,207.8107001122791,0.4997515446063631,0.5179696882474522,10.054896590100327
1970,238.93805466399198,3.982300911066533,0.5098004012036108,0.4972318455366099,117.28717552657974,0.45293454759277835,-11.869680541624875,0.5759978435305918,1994,217.7565730172947,210.88643239572087,0.5007284216438821,0.4870122021704123,0.4290837066735831
1971,256.3414178804621,4.272356964674367,0.504884329482672,0.5003233098945253,118.26738171772978,0.4531813155700653,-12.055129080863887,0.575258814665997,1991,230.0949167535473,213.67735319178314,0.5009776398927688,0.4709628483735145,7.283629742840114
1972,243.54739789262416,4.0591232982104035,0.5214651279478173,0.5068523833416959,119.23522579026593,0.4580489394882087,-11.770186151530357,0.5981384846964375,1993,238.5849058868495,217.156471409474,0.505567764031607,0.4592984856578496,-4.991007732431307
1973,253.85359478435305,4.230893246405884,0.5141834503510532,0.5354453761283852,120.47185656970913,0.4122041374122367,-11.308618355065194,0.588611183550652,1994,246.1195311968967,222.5121169379093,0.508307635692613,0.4440230123198868,4.231700679583006
1974,248.07921015585723,4.1346535025976205,0.5216251885369533,0.5215881498240322,119.91214077425842,0.4382366047259929,-11.73651282051282,0.5900055304172951,1989,248.1519350754577,228.1589642956927,0.5143916995044213,0.44292110895785636,-2.2746909033930063
1975,254.08156906906905,4.234692817817818,0.5240242242242241,0.5351934434434434,119.12229379379379,0.41514015685185185,-11.394147647647648,0.5789898398398399,1998,251.18063795647313,234.46860548688392,0.517236464108544,0.4353622308096711,2.419533224666748
1976,263.49734068136274,4.391622344689379,0.5331984468937876,0.5557458867735471,121.14212074148297,0.3624612212024048,-11.06852254509018,0.5853460420841683,1996,252.61182251665323,241.35336963510025,0.5228992875907671,0.41721821193613895,3.7058066221773656
1977,257.04943043043045,4.284157173840507,0.5372539539539539,0.5644676766766766,122.01742842842843,0.3321183254754755,-11.035755755755755,0.588288938938939,1998,255.3122290242145,246.94856745553201,0.5260570527919943,0.39203208913359233,-2.4470494594970194
1978,252.2053435,4.203422391666667,0.5447832499999999,0.570141965,121.092253,0.31619863111,-10.764040000000001,0.5946582499999999,2000,254.98257876734388,250.5510549821203,0.5321770127217837,0.372830987873145,-1.8844962707441182
1979,251.80104999999998,4.1966841666666665,0.5618162999999999,0.598865365,122.9454195,0.28225500532500003,-10.8373475,0.6112477000000001,2000,255.72694673617244,251.93944090581508,0.5402152350143931,0.34163466799294645,-0.1603033045967206
1980,249.549039559339,4.159150659322317,0.5579734601902854,0.6010627040560841,122.69032548823235,0.2824277569253881,-10.599589384076115,0.6034905358037055,1997,254.82044083422642,253.0005393953498,0.5470050822076054,0.3150921880076537,-0.8943610205997876
1981,249.89931077694234,4.164988512949039,0.5422774436090225,0.6018175614035087,123.45139197994988,0.29176376588471176,-11.023474686716792,0.583910275689223,1995,252.10083485334235,252.35632868499783,0.5488208815506523,0.3009526969441151,0.14036167729671867
1982,249.9057285,4.165095475,0.56573035,0.6000364395000001,121.202016,0.28324909801000003,-10.8133405,0.59246755,2000,250.67209446725627,252.9921617457354,0.5545161607598615,0.29117885145101996,0.0025681235525265578
1983,251.4116325,4.190193875,0.5480333500000001,0.614877525,121.2740695,0.27709465627499996,-10.992583,0.57606155,2000,250.51335226725627,252.7479655173001,0.5551661807598616,0.28335805648402,0.6025888278107239
1984,250.68960930465232,4.1781601550775385,0.5399846923461731,0.6014181790895448,121.94945772886443,0.27089803105052523,-11.369854927463733,0.5671515307653827,1999,250.29106412818675,253.00900543217958,0.5507998592290961,0.281086661629125,-0.28718766437654253
